id,URL,party,timestamp,type,message,link,comments_count,shares_count,reactions_count,like_count,love_count,wow_count,haha_count,sad_count,angry_count
12,https://www.facebook.com/alternativefuerde/posts/2385027378194254,alternativefuerde,2019-04-28T14:55:00Z,link,"++ Halal-Messe: Jetzt wird Deutschland fit fürs Schächten! ++  Nach dem Aus der weltgrößten und bedeutendsten IT-Messe Cebit hat man in Hannover offenbar schnell Ersatz gefunden. Ab nächstem Jahr erhält Deutschland seine erste Halal-Messe, die dann vom 6. bis 8. März stattfinden wird.   Wir sind aufs Äußerste gespannt, welche Produkte die nationalen und internationalen Aussteller präsentieren werden. Schon die Eröffnung verspricht interessant zu werden. Kommt der Muezzin, damit alle richtungssicher gen Mekka auf die Knie fallen können, um Allah anzurufen? Wird es ein buntes Rahmenprogramm geben, das interessierten Besuchern das Schächten am deutschen Huhn und der deutschen Kuh näherbringt? Vielleicht stellen in einem Teilbereich auch befreundete Muslime ihre neuesten Kopftuch- und Niquab-Kollektionen vor.   Besucherandrang erhofft sich die Deutsche Messe AG vor allem aus dem Groß- und Einzelhandel, Supermärkten, von Gastronomen, Imbissen, Caterern, Lebensmittelchemikern, Qualitätsmanagern sowie Verbrauchern. Sie alle sollen fröhlich auf die neuen Gepflogenheiten der noch nicht so lange hier Lebenden eingeschworen werden. Parallel findet ein internationaler Kongress statt, wo wohlfeil politische, wirtschaftliche und gesellschaftliche Halal-Themen diskutiert werden. Es sind Vorträge zu Themen wie Zertifizierung, Produktion und Marketing von Halal-Lebensmitteln, Halal-Tourismus und Logistik geplant.  Ganz schon halal! Der Trend ist klar. Schon heute wandert geschächtetes Fleisch der Branchenführer Wiesenhof und Tönnies bereits auf die Teller der Verbraucher. In den Betriebsanlagen sind muslimische Mitarbeiter im Einsatz, die Richtung Mekka unter Allah-Anrufungen die Tiere lebendig ausbluten lassen. Guten Appetit. Nein, eine Islamisierung findet gewiss nicht statt...  https://www.facebook.com/alternativefuerde/photos/-irrenhaus-deutschland-immer-mehr-halal-fleisch-auf-unseren-tellern-eine-islamis/1969490829747913/  https://halal-welt.com/neue-halal-messe-startet-2020-in-hannover/?fbclid=IwAR0Ui7A0m2NXpsRjYnNcjXzt1bltcrzeXPXBQSQn3D4OyvnImulwa9Z9eKk",https://halal-welt.com/neue-halal-messe-startet-2020-in-hannover/?fbclid=IwAR0Ui7A0m2NXpsRjYnNcjXzt1bltcrzeXPXBQSQn3D4OyvnImulwa9Z9eKklebendig,1163,1499,3944,540,4,56,239,96,3009
13,https://www.facebook.com/FDP/posts/10157210896877250,FDP,2019-04-28T06:18:18Z,photo,"Wir wollen nicht den Staat groß machen. Wir wollen alle stark machen. Denn ein Land wächst mit seinen Menschen und deshalb investieren wir in genau diese Menschen, damit sie unser Land stark und erfolgreich machen können, so Christian Lindner.   #MondaysForEconomy #FridaysForFuture #SaturdaysForDebate #SundaysForEurope #BPT19 #Wirtschaftsdiskurs19",https://www.facebook.com/FDP/photos/a.82276712249/10157210883767250/?type=3,47,110,622,589,24,0,7,0,2
14,https://www.facebook.com/FDP/posts/10157211563012250,FDP,2019-04-28T14:03:00Z,video,"Du hast die Rede von Nicola Beer auf dem #BPT19 verpasst❓ Hier kannst Du Dir das Best-of anschauen!  💪  ""Europa 🇪🇺 muss seine #ChancenNutzen, indem es sich reformiert. Denn ich bin überzeugt: Europa kann es besser!"", so Beer.  #RenewEurope #TeamEurope",https://www.facebook.com/FDP/videos/353079842220887/,358,89,463,258,7,3,85,3,107
15,https://www.facebook.com/FDP/posts/10157211381377250,FDP,2019-04-28T10:40:57Z,photo,"Weil wir Freien Demokraten mit Herzblut an Europa glauben, wollen wir die Europäische Union 🇪🇺 reformieren und damit dessen ungenutzten Potentiale entfesseln. Wir wollen Europas Chancen nutzen! Die Europäer sollen wieder unmittelbar in ihrem Alltag erfahren und verstehen können, warum unser gemeinsames Haus Europa unsere Zukunft ist.  #BPT19 #ChancenNutzen 🚀 #RenewEurope #TeamEurope",https://www.facebook.com/FDP/photos/a.82276712249/10157211377182250/?type=3,14,19,226,210,12,0,4,0,0
16,https://www.facebook.com/DiePARTEI/posts/2166091676760182,DiePARTEI,2019-04-28T12:18:32Z,video,EUSmiley,https://www.facebook.com/DiePARTEIHH/videos/434394227123594/,15,15,222,185,13,0,24,0,0
17,https://www.facebook.com/CSU/posts/10157107063595688,CSU,2019-04-28T12:35:00Z,photo,Wir brauchen endlich einen massiven Ausbau der  künstlichen Intelligenz. Bisherige Investitionen sind im internationalen Vergleich zu gering. Die Welt läuft uns davon. Wir brauchen intensive Forschung im Bereich Batteriezelle und einen Quantensprung bei Supercomputing und autonomem Fahren.,https://www.facebook.com/CSU/photos/a.311521140687/10157107061115688/?type=3,133,20,330,228,2,2,70,0,28
18,https://www.facebook.com/CDU/posts/1264984546992763,CDU,2019-04-29T11:38:01Z,video,Live: Paul Ziemiak berichtet im Konrad-Adenauer-Haus aus den Sitzungen der #CDU-Gremien.,https://www.facebook.com/CDU/videos/1264984546992763/,140,17,190,131,4,2,27,1,25
19,https://www.facebook.com/DiePARTEI/posts/2167740146595335,DiePARTEI,2019-04-29T14:46:39Z,photo,Hat jemand einen feinen Slogan für uns? So was wie #EuropaIstDieAntwort? Smiley!,https://www.facebook.com/nicosemsrott/photos/a.10151232179512836/10157116391597836/?type=3,215,28,522,462,33,0,27,0,0
20,https://www.facebook.com/oedp.de/posts/10157182211079568,oedp.de,2019-04-29T05:07:00Z,photo,"#Klimaschutz und #Artenschutz bedeuten auch, dass wir unsere Ernährungsgewohnheiten hinterfragen sollten, denn ca. 70 Prozent der direkten #Treibhausgasemissionen unserer #Ernährung sind auf tierische Produkte zurückzuführen. Die #ÖDP sieht eine ausgewogene Ernährung mit geringem #Fleischkonsum als erstrebenswert an. Für zahlreiche unserer Parteimitglieder ist es bereits selbstverständlich, auf #Fleisch zu verzichten oder den Konsum stark einzuschränken und artgerecht produziertes Fleisch zu kaufen. ÖDP-Parteitage bieten den Delegierten seit längerem nur mehr #vegetarische und #vegane Kost an.  Kurz gesagt: weniger Fleisch ist mehr Klimaschutz! www.wenigeristmehr.jetzt  #Europawahl: ÖDP wieder ins #Europaparlament wählen.",https://www.facebook.com/oedp.de/photos/a.393610334567/10157182211079568/?type=3,21,70,238,216,8,1,10,0,3
21,https://www.facebook.com/SPD/posts/10156367176982749,SPD,2019-04-29T14:17:39Z,photo,"NA",https://www.facebook.com/klingbeil.lars/photos/a.10151296960191094/10156387039521094/?type=3,296,57,516,411,10,4,87,0,4
